CPU,Time,N0 free,N2 free,N4 free,N6 free,Copy: Best,Copy: Avg,Copy: Min,Copy: Max,Scale: Best,Scale: Avg,Scale: Min,Scale: Max,Add: Best,Add: Avg,Add: Min,Add: Max,Triad: Best,Triad: Avg,Triad: Min,Triad: Max
8,1476115806.0167081,3843,1376,1667,7223,4683.1,0.090395,0.085414,0.097353,4963.4,0.086108,0.080590,0.093970,5233.2,0.120365,0.114653,0.128599,5251.8,0.119891,0.114247,0.127837
13,1476115813.3923268,3852,1376,1667,7229,2928.7,0.136969,0.136581,0.137167,2934.6,0.136857,0.136303,0.137107,2989.5,0.201470,0.200705,0.201711,2993.4,0.201276,0.200443,0.201525
24,1476115818.817048,3852,1377,1668,7229,4122.7,0.097143,0.097024,0.097264,4149.1,0.096518,0.096406,0.096667,4370.4,0.137363,0.137288,0.137437,4375.4,0.137216,0.137129,0.137303
45,1476115824.9574182,3852,1377,1668,7229,3504.6,0.114516,0.114136,0.115149,3514.6,0.114039,0.113810,0.114835,3795.2,0.158244,0.158095,0.158416,3797.6,0.158202,0.157994,0.158493
3,1476116405.2426856,3720,1381,1758,7226,5791.9,0.074223,0.069062,0.079822,5718.0,0.074454,0.069955,0.077950,6467.5,0.099002,0.092772,0.104062,6524.4,0.098685,0.091962,0.105947
17,1476116412.5401564,3729,1380,1755,7227,2985.9,0.134930,0.133963,0.136111,2985.0,0.134856,0.134002,0.135999,3032.4,0.199072,0.197864,0.200510,3034.1,0.198951,0.197754,0.200482
35,1476116418.548638,3729,1381,1757,7228,3594.6,0.111438,0.111278,0.111926,3621.4,0.110811,0.110456,0.110979,3874.5,0.155257,0.154858,0.156123,3877.6,0.155059,0.154736,0.155428
46,1476116424.6842449,3726,1381,1758,7229,3515.8,0.114092,0.113771,0.114400,3531.7,0.113547,0.113259,0.113895,3795.9,0.158168,0.158064,0.158393,3798.5,0.158075,0.157956,0.158241
8,1476117006.8604736,3397,1365,1732,7224,4630.2,0.092626,0.086389,0.098745,4878.7,0.088888,0.081989,0.094585,5203.9,0.123718,0.115299,0.129148,5196.8,0.122756,0.115456,0.128734
13,1476117014.1719217,3403,1366,1741,7225,2973.4,0.134923,0.134526,0.136362,2972.2,0.134962,0.134581,0.135590,3018.0,0.199397,0.198806,0.200975,3018.7,0.199443,0.198762,0.201751
28,1476117019.682775,3408,1367,1743,7227,4087.1,0.103391,0.097869,0.109200,4130.2,0.102691,0.096848,0.108748,4349.7,0.144911,0.137939,0.153223,4351.6,0.144040,0.137879,0.152923
38,1476117025.2598984,3408,1367,1744,7226,3981.3,0.105161,0.100470,0.111877,4003.4,0.104359,0.099914,0.111970,4222.0,0.147671,0.142112,0.156815,4218.8,0.147978,0.142221,0.156362
9,1476117606.707089,3665,1380,1757,7225,4533.7,0.094130,0.088228,0.098179,4749.7,0.090565,0.084216,0.093515,5064.6,0.125545,0.118469,0.128764,5092.8,0.125000,0.117814,0.128845
12,1476117613.9451928,3675,1380,1759,7226,2989.1,0.133920,0.133818,0.134056,2986.5,0.134049,0.133936,0.134283,3033.5,0.197890,0.197793,0.198060,3036.1,0.197772,0.197619,0.197947
24,1476117619.226771,3675,1380,1760,7227,4115.7,0.099051,0.097190,0.107515,4146.0,0.098165,0.096479,0.107583,4369.0,0.138977,0.137332,0.149280,4373.9,0.138840,0.137177,0.148863
41,1476117624.6358688,3674,1381,1760,7228,4013.1,0.100501,0.099674,0.101855,4020.8,0.099970,0.099482,0.100612,4245.1,0.142075,0.141341,0.142800,4246.8,0.141951,0.141283,0.142517
5,1476118206.0173774,3662,1372,1758,7222,5680.0,0.077167,0.070423,0.081391,5651.9,0.075996,0.070772,0.080583,6491.5,0.101837,0.092428,0.108256,6483.2,0.101138,0.092547,0.104867
13,1476118213.2530649,3672,1371,1757,7224,2988.7,0.133981,0.133839,0.134233,2986.5,0.134053,0.133937,0.134228,3034.6,0.197933,0.197721,0.198267,3037.3,0.197871,0.197543,0.198237
30,1476118219.267397,3670,1372,1759,7225,3589.3,0.111958,0.111442,0.113361,3615.3,0.111288,0.110640,0.112135,3875.2,0.155100,0.154832,0.155453,3876.0,0.154942,0.154800,0.155120
42,1476118225.6804001,3674,1372,1759,7225,3486.9,0.119291,0.114714,0.126791,3499.1,0.118414,0.114316,0.123541,3747.7,0.167043,0.160097,0.175816,3748.3,0.166129,0.160073,0.173521
2,1476118806.6336124,3633,1376,1752,7222,5778.9,0.074872,0.069218,0.080530,5742.1,0.073972,0.069661,0.078032,6483.7,0.099545,0.092540,0.103925,6480.2,0.098925,0.092589,0.102941
16,1476118814.0723574,3646,1377,1758,7222,2994.3,0.133740,0.133586,0.133946,2993.7,0.133832,0.133612,0.134107,3042.6,0.197472,0.197200,0.197731,3041.7,0.197593,0.197260,0.199083
27,1476118819.4108856,3648,1377,1759,7223,4114.0,0.100625,0.097230,0.106251,4138.8,0.100059,0.096646,0.107966,4366.0,0.140466,0.137427,0.152251,4370.0,0.140235,0.137300,0.152206
45,1476118825.8648758,3653,1378,1759,7223,3371.3,0.119638,0.118647,0.120652,3417.6,0.118621,0.117041,0.120374,3603.2,0.168873,0.166519,0.171302,3612.0,0.168420,0.166111,0.170862
8,1476119406.2834744,3601,1374,1759,7225,4591.5,0.094776,0.087117,0.099158,4929.9,0.090879,0.081137,0.093962,5200.2,0.125160,0.115381,0.129032,5170.6,0.125424,0.116040,0.130625
22,1476119416.9132748,3614,1377,1758,7227,2045.9,0.195976,0.195514,0.196792,2046.8,0.195732,0.195430,0.196136,2040.0,0.294406,0.294121,0.294797,2039.7,0.294559,0.294168,0.295786
29,1476119422.1881688,3619,1374,1760,7228,4119.6,0.097628,0.097096,0.099012,4149.1,0.096742,0.096407,0.097777,4369.0,0.137793,0.137332,0.139339,4373.1,0.137584,0.137202,0.138958
42,1476119428.3263774,3620,1374,1760,7229,3515.8,0.113997,0.113771,0.114234,3527.5,0.113613,0.113396,0.113848,3795.8,0.158160,0.158069,0.158252,3799.1,0.158123,0.157931,0.158520
6,1476120006.7928302,3860,1374,1759,7225,4425.3,0.095730,0.090389,0.097425,4363.5,0.092925,0.091669,0.093848,4714.4,0.128002,0.127269,0.128469,4741.1,0.127497,0.126554,0.128014
22,1476120017.409852,3865,1378,1758,7229,2046.0,0.195682,0.195508,0.195880,2049.5,0.195431,0.195172,0.195989,2039.2,0.294418,0.294226,0.294982,2039.9,0.294361,0.294135,0.294704
33,1476120023.7265623,3853,1379,1759,7229,3569.0,0.118011,0.112077,0.130703,3592.8,0.115957,0.111334,0.121227,3844.1,0.163229,0.156083,0.169610,3843.1,0.164721,0.156125,0.172303
42,1476120030.0899217,3835,1380,1759,7230,3482.4,0.119867,0.114864,0.129322,3505.4,0.117834,0.114109,0.125996,3758.7,0.164355,0.159630,0.172694,3765.8,0.166167,0.159328,0.178047
0,1476120605.4920812,3924,1730,1763,7227,5768.4,0.076313,0.069343,0.079059,5698.6,0.075431,0.070192,0.077597,6425.4,0.101484,0.093380,0.103626,6504.6,0.101062,0.092242,0.104094
20,1476120616.116799,3928,1729,1763,7227,2046.5,0.195900,0.195455,0.197288,2047.8,0.195598,0.195330,0.195915,2039.8,0.294485,0.294152,0.294844,2038.9,0.294844,0.294280,0.297641
31,1476120622.1164036,3928,1730,1764,7229,3596.1,0.111464,0.111233,0.111849,3613.1,0.111046,0.110707,0.111556,3875.1,0.154986,0.154833,0.155187,3876.0,0.154985,0.154798,0.155819
36,1476120628.0993207,3929,1730,1765,7229,3844.2,0.113045,0.104052,0.123563,3901.8,0.113471,0.102516,0.123115,4089.2,0.158236,0.146729,0.168122,4099.5,0.156760,0.146359,0.167797
7,1476121206.3906226,3354,1729,1760,7246,4319.7,0.096745,0.092599,0.101488,4569.3,0.092326,0.087541,0.094658,5083.7,0.127792,0.118024,0.133904,5143.8,0.127197,0.116645,0.140587
16,1476121213.7938473,3325,1727,1763,7248,2939.8,0.137492,0.136063,0.138146,2971.3,0.137793,0.134619,0.142841,3018.1,0.202362,0.198799,0.205398,3018.6,0.202559,0.198768,0.204524
33,1476121220.1410398,3274,1728,1764,7248,3577.7,0.118254,0.111803,0.124986,3593.1,0.118009,0.111324,0.122972,3851.4,0.163900,0.155789,0.172464,3848.8,0.163707,0.155892,0.171631
